Year,State,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Domain,Value,CV (%)
2020,TEXAS,BLACKLANDS,40,BOSQUE,35,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,36.2,16.2
2020,TEXAS,BLACKLANDS,40,COOKE,97,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,65.5,7.1
2020,TEXAS,BLACKLANDS,40,CORYELL,99,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,64.7,11.2
2020,TEXAS,BLACKLANDS,40,DENTON,121,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,48.9,18.5
2020,TEXAS,BLACKLANDS,40,GRAYSON,181,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,70.6,6.7
2020,TEXAS,BLACKLANDS,40,HILL,217,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,94.7,9.5
2020,TEXAS,BLACKLANDS,40,HUNT,231,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,69.8,20.7
2020,TEXAS,BLACKLANDS,40,JOHNSON,251,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,89.1,11.4
2020,TEXAS,BLACKLANDS,40,MCLENNAN,309,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,66.7,8.5
2020,TEXAS,BLACKLANDS,40,MILAM,331,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,88.2,4.9
2020,TEXAS,BLACKLANDS,40,NAVARRO,349,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,76.3,12.3
2020,TEXAS,BLACKLANDS,40,WILLIAMSON,491,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,58.2,29.2
