Year,Brand,NumOfHybrids
1970,ACCO,3
1970,Asgrow,7
1970,Conlee Seed,3
1970,DeKalb,14
1970,Dorman,2
1970,Excel,5
1970,Farmland,3
1970,Funk,2
1970,Golden West,2
1970,Goodpasture,2
1970,Growers,7
1970,Hunt,6
1970,McGregor,3
1970,McNair,2
1970,Miller,6
1970,Niagara,3
1970,Northrup King,3
1970,P-A-G,7
1970,Pioneer Hi-Bred,9
1970,R. C. Mitchell,2
1970,TAES,17
1970,Taylor-Evans,27
1970,Triumph Seed Co. Inc.,6
1970,WAC,6
1970,Warner Seeds. Inc.,7
1970,West Texas,2
1971,ACCO,8
1971,Asgrow,6
1971,Browning,4
1971,Conlee Seed,3
1971,DeKalb,10
1971,Dorman,1
1971,Excel,7
1971,Farmland,2
1971,Funk,4
1971,Golden West,5
1971,Goodpasture,3
1971,Growers,8
1971,Hunt,3
1971,Master,4
1971,McGregor,2
1971,McNair,3
1971,Midwest,5
1971,Miller,8
1971,Niagara,1
1971,P-A-G,7
1971,Pioneer Hi-Bred,10
1971,R. C. Mitchell,1
1971,R. C. Young,4
1971,Red Barn,2
1971,TAES,14
1971,Taylor-Evans,25
1971,Triumph Seed Co. Inc.,4
1971,WAC,5
1971,Warner Seeds. Inc.,7
1972,ACCO,5
1972,Asgrow,5
1972,Browning,5
1972,Conlee Seed,3
1972,DeKalb,10
1972,Dorman,1
1972,EAST TEXAS SEED CO.,1
1972,Excel,8
1972,Farmland,2
1972,Ferry-Morse,6
1972,Funk,2
1972,Growers,6
1972,Hunt,2
1972,King,4
1972,McGregor,3
1972,McNair,5
1972,Midwest,7
1972,Miller,10
1972,Niagara,3
1972,Northrup King,13
1972,P-A-G,4
1972,Pioneer Hi-Bred,7
1972,R. C. Mitchell,4
1972,Red Barn,2
1972,TAES,20
1972,Taylor-Evans,12
1972,Triumph Seed Co. Inc.,6
1972,WAC,6
1972,Warner Seeds. Inc.,7
1973,ACCO,6
1973,Asgrow,10
1973,Browning,5
1973,Conlee Seed,4
1973,DeKalb,9
1973,Excel,6
1973,Ferry-Morse,9
1973,Frontier Hybrids,2
1973,Funk,8
1973,Growers,9
1973,Hunt,1
1973,Juan Berlanga,1
1973,Louisiana,2
1973,Master,11
1973,McGregor,4
1973,McNair,6
1973,Miller,11
1973,Northern Star,3
1973,Northrup King,11
1973,P-A-G,5
1973,Pioneer Hi-Bred,10
1973,R. C. Mitchell,4
1973,Richardson Seeds,1
1973,TAES,21
1973,Taylor-Evans,10
1973,Triumph Seed Co. Inc.,5
1973,WAC,4
1973,Warner Seeds. Inc.,7
1974,ACCO,9
1974,Asgrow,5
1974,Berlanga,1
1974,Browning,7
1974,Conlee Seed,4
1974,Crown Quality 2J,1
1974,DeKalb,18
1974,Excel,4
1974,Farmland,1
1974,Ferry-Morse,7
1974,FMC,4
1974,Frontier Hybrids,3
1974,Funk,7
1974,Growers,7
1974,Highland,4
1974,Louisiana,2
1974,McGregor,1
1974,McNair,6
1974,Miller,4
1974,Mitchell,3
1974,Northrup King,10
1974,P-A-G,11
1974,Pioneer Hi-Bred,8
1974,Punks,1
1974,TAES,43
1974,Taylor-Evans,13
1974,Triumph Seed Co. Inc.,7
1974,WAC,12
1974,Warner Seeds. Inc.,7
1975,ACCO,9
1975,Asgrow,6
1975,Browning,4
1975,Conlee Seed,4
1975,DeKalb,14
1975,Dilly,3
1975,EAST TEXAS SEED CO.,1
1975,Excel,5
1975,Ferry-Morse,4
1975,FMC,4
1975,Funk,10
1975,Golden West,3
1975,Growers,11
1975,Harpool Seed,1
1975,Hunt,1
1975,Louisiana,3
1975,Master,5
1975,McGregor,2
1975,McNair,13
1975,Miller,11
1975,Mitchell,3
1975,NC+ Hybrids,4
1975,Northern Star,2
1975,Northrup King,13
1975,P-A-G,10
1975,Pioneer Hi-Bred,1
1975,R. C. Mitchell,1
1975,R. C. Young,6
1975,Richardson Seeds,4
1975,Ring Around,7
1975,TAES,40
1975,Taylor-Evans,12
1975,Triumph Seed Co. Inc.,4
1975,WAC,5
1975,Warner Seeds. Inc.,9
1975,Wilstar,10
1976,ACCO,11
1976,Asgrow,6
1976,Conlee Seed,7
1976,Crooked Row,3
1976,DeKalb,4
1976,Delta & Pine Land,3
1976,Farmland,4
1976,Ferry-Morse,3
1976,FMC,4
1976,Fomento,4
1976,Funk,8
1976,Garnett-Ross,1
1976,Garrison Seed,3
